"proc_rea","n"
301060010,10
301060070,94
301060088,169
303010037,1
303010061,14
303010223,1
303040297,1
303100010,2
303100036,3
303100044,323
303110015,2
303110090,1
303110104,1
303140135,1
303150033,3
303160039,2
304100013,3
304100021,1
308010019,3
308040015,7
310010039,89
310010047,164
402010035,1
406040311,1
407030026,1
407040161,5
409060011,1
409060046,18
409060054,3
409060070,4440
409060119,1
409060135,1
409060178,1
411010018,7
411010026,86
411010034,239
411010042,11
411020013,7523
411020021,2
411020030,1
411020048,10
415010012,7
415020034,4
